name,f_nom,r_per_length,x_per_length,c_per_length,cross_section
dove_138ac,60,0.1053,0.351,12.512,282
grackle_345ac,60,0.049,0.323,13.673,604
buteo_230ac,60,0.0822,0.338,13.003,362
dove_138ac_2par,60,0.05265,0.1755,25.024,282
dove_138ac_4par,60,0.026325,0.08775,50.048,282
eq_ns,60,0.001,0.024408796,13.673,1
eq_pei,60,0.001,0.015391786,13.673,1
